text,label
There’s no turning back now. Your files and videos have been downloaded. Everyone will know your secrets. Do not reply. Just pay $1100.,sextortion
Your subscription will renew automatically next month.,not_sextortion
Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
"We’ve been w a t c h i n g y o u f o r a while. W e have y o u r f u l l c o n t a c t l i s t . I f y o u d o n ’ t p a y , we’ll r e l e a s e the v i d e o . Y o u ’ l l f i n d o u r wallet a d d r e s s b e l o w . T r a n s f e r $ 1 3 0 0 .",sextortion
There’s n o t u r n i n g b a c k n o w . We h a c k e d all y o u r d e v i c e s . The f o o t a g e goes live in 2 4 hours. F o l l o w t h e s e i n s t r u c t i o n s and s e n d $ 1 0 0 0 i n Bitcoin.,sextortion
This is your final warning. We took over your camera while you were online. We will make you a public example. $1400 in BTC is the only way out. 😳,sextortion
W e ’ v e been w a t c h i n g you f o r a w h i l e . Y o u r screen was b e i n g m o n i t o r e d . T h e f o o t a g e goes live i n 24 h o u r s . Pay $ 9 0 0 o r f a c e t h e c o n s e q u e n c e s .,sextortion
Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
L i s t e n c a r e f u l l y . W e i n t e r c e p t e d your private m e s s a g e s . The f o o t a g e g o e s l i v e i n 2 4 hours. D o not r e p l y . J u s t p a y $ 1 1 0 0 .,sextortion
You made a huge mistake. We accessed your social media accounts. This is your only chance to stop it. Pay $900 or face the consequences. 😈,sextortion
T h e r e ’ s n o t u r n i n g b a c k n o w . W e h a c k e d a l l your devices. T h i s d a t a w i l l b e s o l d o n the dark web. P a y $ 9 0 0 or f a c e the c o n s e q u e n c e s .,sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
Congratulations! You've been selected for a free vacation to the Bahamas.,not_sextortion
We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
Urgent: Pay your toll online to avoid extra fees.,not_sextortion
We’ve been watching you for a while. We recorded you through your camera. Everyone will know your secrets. Follow these instructions and send $1000 in Bitcoin. 😳,sextortion
"We’ve been watching you for a while. We have all your private moments saved. If you don’t pay, we’ll release the video. Use this wallet address to send $850 now. 📸",sextortion
"Don't ignore this message. We hacked all your devices. If you don’t pay, we’ll release the video. $1400 in BTC is the only way out.",sextortion
Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
Verify your identity to restore full account access.,not_sextortion
There’s no turning back now. Your screen was being monitored. We will make you a public example. Transfer $1000 in BTC now.,sextortion
There’s no turning back now. We have your full contact list. The footage goes live in 24 hours. Follow these instructions and send $1000 in Bitcoin. 😈,sextortion
Reactivate your email account to keep receiving messages.,not_sextortion
Your Apple ID was used on a new device. Click to secure your account.,not_sextortion
There’s n o t u r n i n g b a c k n o w . W e i n t e r c e p t e d y o u r private m e s s a g e s . Y o u r family a n d friends w i l l g e t everything. Y o u ’ l l f i n d o u r wallet a d d r e s s below. T r a n s f e r $1300.,sextortion
Don't i g n o r e t h i s message. We have y o u r f u l l c o n t a c t l i s t . E v e r y o n e w i l l know y o u r secrets. S e n d $ 1 5 0 0 i m m e d i a t e l y if you want this t o g o away.,sextortion
L i s t e n c a r e f u l l y . We've cloned your p h o n e . This i s your o n l y c h a n c e t o s t o p i t . P a y $ 9 0 0 o r f a c e the c o n s e q u e n c e s .,sextortion
Your package is stuck in customs. Pay the fee to release it.,not_sextortion
Don't forget to submit your time sheet today.,not_sextortion
You made a huge mistake. We've cloned your phone. This will ruin your reputation. Pay $900 or face the consequences. 😳,sextortion
Urgent: Pay your toll online to avoid extra fees.,not_sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
We’ve been watching you for a while. We recorded you through your camera. Everyone will know your secrets. Do not reply. Just pay $1100. 😈,sextortion
This is your final warning. We recorded you through your camera. Everyone will know your secrets. Follow these instructions and send $1000 in Bitcoin. 📸,sextortion
Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
Get 50% off all items during our summer sale!,not_sextortion
Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
T h i s i s y o u r f i n a l w a r n i n g . W e i n t e r c e p t e d y o u r p r i v a t e messages. T h i s d a t a w i l l be s o l d on the d a r k w e b . Y o u ’ l l f i n d our wallet address below. T r a n s f e r $ 1 3 0 0 .,sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
L i s t e n c a r e f u l l y . Y o u r f i l e s a n d v i d e o s h a v e b e e n downloaded. You will lose e v e r y t h i n g . U s e this w a l l e t a d d r e s s to s e n d $ 8 5 0 now.,sextortion
Reminder: Your dental appointment is scheduled for 3 PM tomorrow.,not_sextortion
Get 50% off all items during our summer sale!,not_sextortion
We caught everything. We have your full contact list. This data will be sold on the dark web. Transfer $1000 in BTC now. 🚨,sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
Get 50% off all items during our summer sale!,not_sextortion
