id,text,label
40,There’s no turning back now. Your files and videos have been downloaded. Everyone will know your secrets. Do not reply. Just pay $1100.,sextortion
283,Your subscription will renew automatically next month.,not_sextortion
212,Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
68,"We’ve been w a t c h i n g y o u f o r a while. W e have y o u r f u l l c o n t a c t l i s t . I f y o u d o n ’ t p a y , we’ll r e l e a s e the v i d e o . Y o u ’ l l f i n d o u r wallet a d d r e s s b e l o w . T r a n s f e r $ 1 3 0 0 .",sextortion
39,There’s n o t u r n i n g b a c k n o w . We h a c k e d all y o u r d e v i c e s . The f o o t a g e goes live in 2 4 hours. F o l l o w t h e s e i n s t r u c t i o n s and s e n d $ 1 0 0 0 i n Bitcoin.,sextortion
180,This is your final warning. We took over your camera while you were online. We will make you a public example. $1400 in BTC is the only way out. 😳,sextortion
71,W e ’ v e been w a t c h i n g you f o r a w h i l e . Y o u r screen was b e i n g m o n i t o r e d . T h e f o o t a g e goes live i n 24 h o u r s . Pay $ 9 0 0 o r f a c e t h e c o n s e q u e n c e s .,sextortion
298,Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
338,Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
200,L i s t e n c a r e f u l l y . W e i n t e r c e p t e d your private m e s s a g e s . The f o o t a g e g o e s l i v e i n 2 4 hours. D o not r e p l y . J u s t p a y $ 1 1 0 0 .,sextortion
140,You made a huge mistake. We accessed your social media accounts. This is your only chance to stop it. Pay $900 or face the consequences. 😈,sextortion
50,T h e r e ’ s n o t u r n i n g b a c k n o w . W e h a c k e d a l l your devices. T h i s d a t a w i l l b e s o l d o n the dark web. P a y $ 9 0 0 or f a c e the c o n s e q u e n c e s .,sextortion
365,Update your bank credentials to avoid account lockout.,not_sextortion
366,Congratulations! You've been selected for a free vacation to the Bahamas.,not_sextortion
299,We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
252,Urgent: Pay your toll online to avoid extra fees.,not_sextortion
86,We’ve been watching you for a while. We recorded you through your camera. Everyone will know your secrets. Follow these instructions and send $1000 in Bitcoin. 😳,sextortion
81,"We’ve been watching you for a while. We have all your private moments saved. If you don’t pay, we’ll release the video. Use this wallet address to send $850 now. 📸",sextortion
95,"Don't ignore this message. We hacked all your devices. If you don’t pay, we’ll release the video. $1400 in BTC is the only way out.",sextortion
206,Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
360,Verify your identity to restore full account access.,not_sextortion
134,There’s no turning back now. Your screen was being monitored. We will make you a public example. Transfer $1000 in BTC now.,sextortion
17,There’s no turning back now. We have your full contact list. The footage goes live in 24 hours. Follow these instructions and send $1000 in Bitcoin. 😈,sextortion
255,Reactivate your email account to keep receiving messages.,not_sextortion
201,Your Apple ID was used on a new device. Click to secure your account.,not_sextortion
22,There’s n o t u r n i n g b a c k n o w . W e i n t e r c e p t e d y o u r private m e s s a g e s . Y o u r family a n d friends w i l l g e t everything. Y o u ’ l l f i n d o u r wallet a d d r e s s below. T r a n s f e r $1300.,sextortion
